"ID_UNIDADE_ORC";"SQA_UNIDADE_ORCAM";"ANO_EXERCICIO";"CD_UNIDADE_ORC";"ID_GRUPO_ADMINISTRACAO";"GRUPO_ADMINISTRACAO";"ID_ADMINISTRACAO";"ADMINISTRACAO";"NOME"
7364;2026;2016;4491;4;"FUNDOS";4;"FUNDOS";"FUNDO ESTADUAL DE CULTURA"
7383;2050;2016;4251;4;"FUNDOS";4;"FUNDOS";"FUNDO ESTADUAL DE ASSISTENCIA SOCIAL"
7405;2065;2016;1651;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE DIREITOS HUMANOS, PARTICIPACAO SOCIAL E CIDADANIA"
7411;2071;2016;4461;4;"FUNDOS";4;"FUNDOS";"FUNDO FINANCEIRO DE PREVIDENCIA"
7413;2073;2016;1941;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"EGE-SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO"
7419;2079;2016;2071;2;"AUTARQUIAS E FUNDACOES";3;"FUNDACOES";"FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS"
7438;2098;2016;2301;2;"AUTARQUIAS E FUNDACOES";2;"AUTARQUIAS";"DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO"
7599;2106;2016;2381;2;"AUTARQUIAS E FUNDACOES";2;"AUTARQUIAS";"DEPARTAMENTO ESTADUAL DE TELECOMUNICACOES DE MINAS GERAIS"
7600;2107;2016;2391;2;"AUTARQUIAS E FUNDACOES";2;"AUTARQUIAS";"IMPRENSA OFICIAL DO ESTADO DE MINAS GERAIS"
7350;2012;2016;1091;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"PROCURADORIA GERAL DE JUSTICA"
7370;2032;2016;1401;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS"
7400;2060;2016;1571;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE CASA CIVIL E DE RELACOES INSTITUCIONAIS"
7407;2067;2016;1671;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE ESPORTES"
7422;2082;2016;2101;2;"AUTARQUIAS E FUNDACOES";2;"AUTARQUIAS";"INSTITUTO ESTADUAL DE FLORESTAS"
7427;2087;2016;2151;2;"AUTARQUIAS E FUNDACOES";3;"FUNDACOES";"FUNDACAO HELENA ANTIPOFF"
