"id_tempo";"id_procedimento";"id_orgao_demanda";"id_orgao_contrato";"id_situacao_proc";"id_situacao_cont";"id_municipio";"id_contratado";"id_grupo_matserv";"id_classe_matserv";"id_material_servico";"id_item_matserv";"id_processo";"id_contrato";"id_unidade_medida";"id_linha_fornec";"id_item";"id_unidade_orc";"sqa_procedimento";"sqa_item_pedido";"ano_particao";"dt_item_homologa";"qt_item_pedido";"vr_un_referencia";"vr_referencia";"vr_un_homologado";"vr_homologado";"vr_atualizado"
47091;15;1831008;50;1;8;883;20931;42;399;13641;11669;318811;46296;889;1831334;2923;2925;36;2912964;2020;"14/02/2020";800;1,78;1424;1,78;1424;1424
47091;15;1831008;50;1;8;883;35542;42;399;6227;141492;318811;46296;889;1831334;2923;2925;36;2912963;2020;"14/02/2020";64;23,26;1488,64;23,26;1488,64;1488,64
47091;15;1831008;50;1;8;883;19946;42;399;289;106809;318811;46296;889;1831334;2923;2925;36;2912149;2020;"14/02/2020";12000;0,21;2520;0,21;2520;2520
47091;15;1831008;50;1;8;883;23952;42;399;13311;128305;318811;46296;889;1831334;2923;2925;36;2912148;2020;"14/02/2020";20;73;1460;73;1460;1460
47091;15;1831008;50;1;8;883;21107;42;399;18630;117852;318811;46296;889;1831334;2923;2925;36;2912147;2020;"14/02/2020";200;8,27;1654;8,27;1654;1654
47091;15;1831008;50;1;8;883;36057;42;399;8299;75534;318811;46296;889;1831334;2923;2925;36;2912146;2020;"14/02/2020";1000;1,65;1650;1,65;1650;1650
47091;15;1831008;50;1;8;883;19946;42;399;704;105447;318811;46296;933;1831334;2923;2925;36;2912145;2020;"14/02/2020";30;31,5;945;31,5;945;945
47098;15;1831008;50;1;8;883;24541;42;399;3112;90999;318801;46296;889;1831334;2923;2925;36;2914628;2020;"14/02/2020";5;1276,92;6384,6;1276,92;6384,6;6384,6
47098;15;1831008;50;1;8;883;56358;42;399;15964;28922;318801;46296;889;1831334;2923;2925;36;2914627;2020;"14/02/2020";3;601,58;1804,74;601,58;1804,74;1804,74
47098;15;1831008;50;1;8;883;59406;42;107;8242;8884;318801;46296;889;1831334;2923;2925;36;2914626;2020;"14/02/2020";10;115;1150;115;1150;1150
47098;15;1831008;50;1;8;883;21086;42;399;5637;52137;318801;46296;889;1831334;2923;2925;36;2914625;2020;"14/02/2020";10;110;1100;110;1100;1100
47098;15;1831008;50;1;8;883;21086;42;399;565;22200;318801;46296;889;1831334;2923;2925;36;2914624;2020;"14/02/2020";50;120;6000;120;6000;6000
47098;15;1831008;50;1;8;883;13711;42;399;10825;20091;318801;46296;889;1831334;2923;2925;36;2914623;2020;"14/02/2020";60;18,74;1124,4;18,74;1124,4;1124,4
47098;15;1831008;50;1;8;883;36057;42;399;10825;87333;318801;46296;889;1831334;2923;2925;36;2914622;2020;"14/02/2020";20;16,1;322;16,1;322;322
47098;15;1831008;50;1;8;883;21086;42;399;565;10232;318801;46296;889;1831334;2923;2925;36;2914621;2020;"14/02/2020";10;120;1200;120;1200;1200
47092;15;1831008;50;1;8;883;19898;58;732;15799;100012;318748;46296;889;1831373;2923;2925;36;2912517;2020;"14/02/2020";3000;0,15;450;0,15;450;450
47092;15;1831008;50;1;8;883;21312;42;399;13195;30175;318755;46296;889;1831334;2923;2925;36;2912554;2020;"14/02/2020";6;45,5;273;45,5;273;273
47092;15;1831008;50;1;8;883;13711;42;399;10983;125521;318755;46296;889;1831334;2923;2925;36;2912553;2020;"14/02/2020";30;3,23;96,9;3,23;96,9;96,9
47092;15;1831008;50;1;8;883;13711;42;399;10983;24090;318755;46296;889;1831334;2923;2925;36;2912532;2020;"14/02/2020";10;3,2;32;3,2;32;32
47092;15;1831008;50;1;8;883;19141;42;399;16457;61382;318755;46296;889;1831334;2923;2925;36;2912531;2020;"14/02/2020";3;45;135;45;135;135
47092;15;1831008;50;1;8;883;21312;42;399;13195;116148;318755;46296;889;1831334;2923;2925;36;2912530;2020;"14/02/2020";6;45,5;273;45,5;273;273
47092;15;1831008;50;1;8;883;21312;42;399;13195;129781;318755;46296;889;1831334;2923;2925;36;2912529;2020;"14/02/2020";1;44,09;44,09;44,09;44,09;44,09
47092;15;1831008;50;1;8;883;13711;42;399;10983;16774;318755;46296;889;1831334;2923;2925;36;2912528;2020;"14/02/2020";10;4,17;41,7;4,17;41,7;41,7
47092;15;1831008;50;1;8;883;19141;42;399;13195;117877;318755;46296;889;1831334;2923;2925;36;2912527;2020;"14/02/2020";1;40,92;40,92;40,92;40,92;40,92
47098;15;1831008;50;1;8;883;13711;42;399;17963;146874;318801;46296;889;1831334;2923;2925;36;2914620;2020;"14/02/2020";200;22,89;4578;22,89;4578;4578
47098;15;1831008;50;1;8;883;36057;42;399;4816;124536;318801;46296;889;1831334;2923;2925;36;2914619;2020;"14/02/2020";240;180;43200;180;43200;43200
47098;15;1831008;50;1;8;883;36057;42;399;10825;128395;318801;46296;889;1831334;2923;2925;36;2914618;2020;"14/02/2020";10;14,9;149;14,9;149;149
47098;15;1831008;50;1;8;883;21325;42;399;5885;63644;318801;46296;889;1831334;2923;2925;36;2914617;2020;"14/02/2020";18;29,1;523,8;29,1;523,8;523,8
47098;15;1831008;50;1;8;883;13711;42;399;13190;16016;318801;46296;889;1831334;2923;2925;36;2914616;2020;"14/02/2020";50;2,01;100,5;2,01;100,5;100,5
47098;15;1831008;50;1;8;883;13711;42;399;13190;16015;318801;46296;889;1831334;2923;2925;36;2914615;2020;"14/02/2020";100;2,01;201;2,01;201;201
47098;15;1831008;50;1;8;883;19898;42;399;13190;127385;318801;46296;889;1831334;2923;2925;36;2914614;2020;"14/02/2020";60;0,66;39,6;0,66;39,6;39,6
47098;15;1831008;50;1;8;883;13711;42;399;13190;128161;318801;46296;889;1831334;2923;2925;36;2914613;2020;"14/02/2020";150;2,01;301,5;2,01;301,5;301,5
47098;15;1831008;50;1;8;883;19898;42;399;13190;14754;318801;46296;889;1831334;2923;2925;36;2914612;2020;"14/02/2020";20;0,96;19,2;0,96;19,2;19,2
47098;15;1831008;50;1;8;883;20176;42;399;13190;22034;318801;46296;889;1831334;2923;2925;36;2914611;2020;"14/02/2020";120;0,4;48;0,4;48;48
47098;15;1831008;50;1;8;883;20176;42;399;13190;22033;318801;46296;889;1831334;2923;2925;36;2914610;2020;"14/02/2020";200;0,3;60;0,3;60;60
47098;15;1831008;50;1;8;883;57267;42;399;13190;13865;318801;46296;889;1831334;2923;2925;36;2914609;2020;"14/02/2020";4;54,14;216,56;54,14;216,56;216,56
47098;15;1831008;50;1;8;883;23952;42;399;13190;15793;318801;46296;889;1831334;2923;2925;36;2914608;2020;"14/02/2020";30;0,58;17,4;0,58;17,4;17,4
47098;15;1831008;50;1;8;883;23952;42;399;13190;16014;318801;46296;889;1831334;2923;2925;36;2914607;2020;"14/02/2020";200;2,7;540;2,7;540;540
47098;15;1831008;50;1;8;883;20176;42;399;16042;16941;318801;46296;889;1831334;2923;2925;36;2914606;2020;"14/02/2020";2000;0,66;1320;0,66;1320;1320
47098;15;1831008;50;1;8;883;57267;42;399;13190;14833;318801;46296;889;1831334;2923;2925;36;2914605;2020;"14/02/2020";10;61;610;61;610;610
47098;15;1831008;50;1;8;883;14350;42;399;13589;21940;318801;46296;833;1831334;2923;2925;36;2914674;2020;"14/02/2020";100;4;400;4;400;400
47098;15;1831008;50;1;8;883;21312;42;399;16042;167418;318801;46296;889;1831334;2923;2925;36;2914673;2020;"14/02/2020";10;90,47;904,7;90,47;904,7;904,7
47098;15;1831008;50;1;8;883;21252;42;399;11012;11506;318801;46296;889;1831334;2923;2925;36;2914672;2020;"14/02/2020";20;4;80;4;80;80
47098;15;1831008;50;1;8;883;21312;42;399;469;120515;318801;46296;889;1831334;2923;2925;36;2914670;2020;"14/02/2020";60;9,3;558;9,3;558;558
47098;15;1831008;50;1;8;883;22976;42;399;16639;62538;318801;46296;889;1831334;2923;2925;36;2914669;2020;"14/02/2020";10;101;1010;101;1010;1010
47098;15;1831008;50;1;8;883;33198;42;399;16042;22082;318801;46296;889;1831334;2923;2925;36;2914668;2020;"14/02/2020";20;99,99;1999,8;99,99;1999,8;1999,8
47098;15;1831008;50;1;8;883;18679;42;399;16042;22152;318801;46296;889;1831334;2923;2925;36;2914667;2020;"14/02/2020";10;288;2880;288;2880;2880
47098;15;1831008;50;1;8;883;21716;42;399;13586;65436;318801;46296;889;1831334;2923;2925;36;2914666;2020;"14/02/2020";30;47,97;1439,1;47,97;1439,1;1439,1
47098;15;1831008;50;1;8;883;19141;42;399;696;14850;318801;46296;892;1831334;2923;2925;36;2914663;2020;"14/02/2020";10;6;60;6;60;60
47098;15;1831008;50;1;8;883;31244;42;399;5882;132716;318801;46296;889;1831334;2923;2925;36;2914662;2020;"14/02/2020";3;377,3;1131,9;377,3;1131,9;1131,9
47098;15;1831008;50;1;8;883;20931;42;399;514;153415;318801;46296;889;1831334;2923;2925;36;2914661;2020;"14/02/2020";10;25;250;25;250;250
47098;15;1831008;50;1;8;883;13711;42;399;11161;43000;318801;46296;889;1831334;2923;2925;36;2914660;2020;"14/02/2020";30;12,19;365,7;12,19;365,7;365,7
47098;15;1831008;50;1;8;883;20931;42;399;11161;130343;318801;46296;889;1831334;2923;2925;36;2914659;2020;"14/02/2020";20;11,64;232,8;11,64;232,8;232,8
47098;15;1831008;50;1;8;883;31244;42;399;11180;62509;318801;46296;903;1831334;2923;2925;36;2914658;2020;"14/02/2020";10;186;1860;186;1860;1860
47098;15;1831008;50;1;8;883;13711;42;399;11161;116155;318801;46296;889;1831334;2923;2925;36;2914657;2020;"14/02/2020";12;12,48;149,76;12,48;149,76;149,76
47098;15;1831008;50;1;8;883;21312;42;399;18907;10780;318801;46296;889;1831334;2923;2925;36;2914656;2020;"14/02/2020";50;18,99;949,5;18,99;949,5;949,5
47098;15;1831008;50;1;8;883;23952;42;399;16104;116445;318801;46296;889;1831334;2923;2925;36;2914655;2020;"14/02/2020";1200;1,39;1668;1,39;1668;1668
47098;15;1831008;50;1;8;883;29623;42;399;18807;125619;318801;46296;806;1831334;2923;2925;36;2914654;2020;"14/02/2020";40;21,64;865,6;21,64;865,6;865,6
47098;15;1831008;50;1;8;883;21499;32;100;1177;34365;318801;46296;1301;1831400;2923;2925;36;2914780;2020;"14/02/2020";60;1,5;90;1,5;90;90
47091;15;1831008;50;1;8;883;20176;42;525;21787;174694;318811;46296;1917;1831334;2923;2925;36;2912144;2020;"14/02/2020";160;7,2;1152;7,2;1152;1152
47091;15;1831008;50;1;8;883;17532;42;525;50;179026;318811;46296;889;1831334;2923;2925;36;2912143;2020;"14/02/2020";3500;0,32;1120;0,32;1120;1120
47091;15;1831008;50;1;8;883;21499;42;399;9401;131901;318811;46296;889;1831334;2923;2925;36;2912142;2020;"14/02/2020";200;9,05;1810;9,05;1810;1810
47091;15;1831008;50;1;8;883;17532;42;399;17834;106739;318811;46296;943;1831334;2923;2925;36;2912141;2020;"14/02/2020";500;34,99;17495;34,99;17495;17495
47091;15;1831008;50;1;8;883;21107;42;399;10860;16815;318811;46296;889;1831334;2923;2925;36;2912140;2020;"14/02/2020";100;15,01;1501;15,01;1501;1501
47091;15;1831008;50;1;8;883;18679;42;399;16042;128184;318811;46296;889;1831334;2923;2925;36;2912139;2020;"14/02/2020";10;80;800;80;800;800
47091;15;1831008;50;1;8;883;36057;42;399;8299;133700;318811;46296;889;1831334;2923;2925;36;2912186;2020;"14/02/2020";1000;1,65;1650;1,65;1650;1650
47091;15;1831008;50;1;8;883;13711;42;399;5205;131519;318811;46296;889;1831334;2923;2925;36;2912184;2020;"14/02/2020";400;0,38;152;0,38;152;152
47099;15;1831017;50;1;8;883;20202;26;599;12856;135505;318754;46296;889;1831233;2863;2842;36;2907130;2020;"14/02/2020";24;1370,18;32884,32;1370,18;32884,32;32884,32
