id_unidade_orc;sqa_unidade_orcam;ano_exercicio;cd_unidade_orc;id_grupo_administracao;grupo_admiistracao;id_administracao;administracao;nome
2434;1351;2011;4181;4;"FUNDOS";4;"FUNDOS";"FUNDO ESTADUAL DE DESENVOLVIMENTO DE COMUNIDADES"
2435;1352;2011;4251;4;"FUNDOS";4;"FUNDOS";"FUNDO ESTADUAL DE ASSISTENCIA SOCIAL"
2436;221;2003;4271;4;"FUNDOS";4;"FUNDOS";"FUNDO ESTADUAL DE APOIO A INDUSTRIA CINEMATOGRAFICA"
2437;1262;2011;1021;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS"
2438;1266;2011;1081;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"ADVOCACIA-GERAL DO ESTADO"
2439;332;2004;4141;4;"FUNDOS";4;"FUNDOS";"FUNDO PENITENCIARIO ESTADUAL"
2440;1438;2012;1111;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"ESCRITORIO DE REPRESENTACAO DO GOVERNO DO ESTADO DE MINAS GERAIS EM BRASILIA"
2441;349;2004;2201;2;"AUTARQUIAS E FUNDAÇÕES";3;"FUNDACOES";"INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS - IEPHA"
2442;351;2004;1211;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE JUSTICA E DE DIREITOS HUMANOS"
2443;224;2003;1291;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE MINAS E ENERGIA"
2444;227;2003;2301;2;"AUTARQUIAS E FUNDAÇÕES";2;"AUTARQUIAS";"DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS"
2788;1652;2013;2271;2;"AUTARQUIAS E FUNDAÇÕES";3;"FUNDACOES";"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS"
2789;1657;2013;2321;2;"AUTARQUIAS E FUNDAÇÕES";3;"FUNDACOES";"FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS"
2790;1725;2014;1231;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO"
2791;1730;2014;1301;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE TRANSPORTES E OBRAS PUBLICAS"
2792;1736;2014;1401;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS"
2793;1747;2014;4101;4;"FUNDOS";4;"FUNDOS";"FUNDO ESTADUAL DE HABITACAO"
2794;1766;2014;1661;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"INTENDENCIA"
2795;1784;2014;2071;2;"AUTARQUIAS E FUNDAÇÕES";3;"FUNDACOES";"FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS"
2796;1789;2014;2111;2;"AUTARQUIAS E FUNDAÇÕES";3;"FUNDACOES";"FUNDACAO RURAL MINEIRA"
2797;1808;2014;2321;2;"AUTARQUIAS E FUNDAÇÕES";3;"FUNDACOES";"FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS"
2798;1815;2014;2401;2;"AUTARQUIAS E FUNDAÇÕES";2;"AUTARQUIAS";"INSTITUTO DE GEOINFORMACAO E TECNOLOGIA"
2799;1826;2014;4121;4;"FUNDOS";4;"FUNDOS";"FUNDO DE APOIO HABITACIONAL DA ASSEMBLEIA LEGISLATIVA DE MINAS GERAIS"
2800;1827;2014;4571;4;"FUNDOS";4;"FUNDOS";"FUNDO ESTADUAL PARA A CIDADANIA FISCAL MINEIRA"
2801;1861;2015;1071;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS"
2802;1871;2015;4571;4;"FUNDOS";4;"FUNDOS";"FUNDO ESTADUAL PARA A CIDADANIA FISCAL MINEIRA"
2803;1876;2015;1271;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE CULTURA"
2804;1886;2015;1451;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE DEFESA SOCIAL"
2805;1887;2015;4141;4;"FUNDOS";4;"FUNDOS";"FUNDO PENITENCIARIO ESTADUAL"
2806;1894;2015;1471;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO REGIONAL, POLITICA URBANA E GESTAO METROPOLITANA"
2807;1900;2015;4251;4;"FUNDOS";4;"FUNDOS";"FUNDO ESTADUAL DE ASSISTENCIA SOCIAL"
2808;1909;2015;1521;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"CONTROLADORIA-GERAL DO ESTADO"
2809;1914;2015;1591;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INTEGRACAO DO NORTE E NORDESTE DE MINAS GERAIS"
2810;1915;2015;1601;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"ESCRITORIO DE PRIORIDADES ESTRATEGICAS"
2811;1934;2015;2141;2;"AUTARQUIAS E FUNDAÇÕES";2;"AUTARQUIAS";"DEPARTAMENTO DE OBRAS PUBLICAS DO ESTADO DE MINAS GERAIS"
2812;1951;2015;2351;2;"AUTARQUIAS E FUNDAÇÕES";2;"AUTARQUIAS";"UNIVERSIDADE DO ESTADO DE MINAS GERAIS"
2813;1958;2015;2431;2;"AUTARQUIAS E FUNDAÇÕES";2;"AUTARQUIAS";"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE"
2814;1982;2015;4061;4;"FUNDOS";4;"FUNDOS";"FUNDO PRO-FLORESTA"
2815;1986;2015;4501;4;"FUNDOS";4;"FUNDOS";"FUNDO DE EQUALIZACAO DO ESTADO DE MINAS GERAIS"
2816;699;2006;4461;4;"FUNDOS";4;"FUNDOS";"FUNDO FINANCEIRO DE PREVIDENCIA"
2817;515;2005;4271;4;"FUNDOS";4;"FUNDOS";"FUNDO ESTADUAL DE APOIO A INDUSTRIA CINEMATOGRAFICA"
2818;579;2006;1011;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS"
2819;599;2006;2081;2;"AUTARQUIAS E FUNDAÇÕES";3;"FUNDACOES";"FUNDACAO CENTRO TECNOLOGICO DE MINAS GERAIS"
2820;1671;2013;2461;2;"AUTARQUIAS E FUNDAÇÕES";2;"AUTARQUIAS";"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO"
2821;1689;2013;4041;4;"FUNDOS";4;"FUNDOS";"FUNDO DE DESENVOLVIMENTO REGIONAL DO JAIBA"
2822;1705;2014;9999;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"EMG - ADMINISTRACAO DIRETA"
2823;1707;2013;1661;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"INTENDENCIA"
2824;1722;2014;1161;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"ESCRITORIO DE REPRESENTACAO DO GOVERNO DO ESTADO DE MINAS GERAIS EM SAO PAULO"
2825;1723;2014;1191;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE FAZENDA"
2826;883;2008;4151;4;"FUNDOS";4;"FUNDOS";"FUNDO DE ASSISTENCIA AO TURISMO"
2827;892;2008;1191;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE FAZENDA"
2828;899;2008;1231;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO"
2829;908;2008;2261;2;"AUTARQUIAS E FUNDAÇÕES";3;"FUNDACOES";"FUNDACAO EZEQUIEL DIAS"
2830;925;2008;2361;2;"AUTARQUIAS E FUNDAÇÕES";2;"AUTARQUIAS";"INSTITUTO DE PREVIDENCIA DO LEGISLATIVO DO ESTADO DE MINAS GERAIS"
2831;629;2006;1191;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE FAZENDA"
2832;1063;2009;2381;2;"AUTARQUIAS E FUNDAÇÕES";2;"AUTARQUIAS";"DEPARTAMENTO ESTADUAL DE TELECOMUNICACOES DE MINAS GERAIS"
2833;1065;2009;2391;2;"AUTARQUIAS E FUNDAÇÕES";2;"AUTARQUIAS";"IMPRENSA OFICIAL DO ESTADO DE MINAS GERAIS"
2834;1066;2009;2401;2;"AUTARQUIAS E FUNDAÇÕES";2;"AUTARQUIAS";"INSTITUTO DE GEOCIENCIAS APLICADAS"
2835;1071;2009;1991;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"RESERVA DE CONTINGENCIA"
2836;1072;2009;4391;4;"FUNDOS";4;"FUNDOS";"FUNDO ESTADUAL DE RECUPERACAO DO PATRIMONIO HISTORICO, ARTISTICO E ARQ"
2837;1083;2009;2421;2;"AUTARQUIAS E FUNDAÇÕES";2;"AUTARQUIAS";"INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS"
2838;11;2002;1011;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS"
2839;12;2002;1021;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS"
2840;15;2002;1051;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS"
2841;34;2002;4411;4;"FUNDOS";4;"FUNDOS";"FUNDO ROTATIVO DE FOMENTO A AGRICULTURA FAMILIAR E DE VIABILIZACAO DE ASSENTAMENTOS AGRARIOS"
2842;44;2002;4291;4;"FUNDOS";4;"FUNDOS";"FUNDO ESTADUAL DE SAUDE"
2843;46;2002;1341;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"COORDENADORIA DE APOIO E ASSISTENCIA A PESSOA DEFICIENTE"
2844;58;2002;1913;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"TRANSFERENCIAS DO ESTADO A EMPRESAS SUBVENCIONADAS"
2845;1302;2011;2011;2;"AUTARQUIAS E FUNDAÇÕES";2;"AUTARQUIAS";"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS"
2846;1304;2011;2061;2;"AUTARQUIAS E FUNDAÇÕES";3;"FUNDACOES";"FUNDACAO JOAO PINHEIRO"
2847;1312;2011;2151;2;"AUTARQUIAS E FUNDAÇÕES";3;"FUNDACOES";"FUNDACAO HELENA ANTIPOFF"
2848;1318;2011;2231;2;"AUTARQUIAS E FUNDAÇÕES";2;"AUTARQUIAS";"ADMINISTRACAO DE ESTADIOS DO ESTADO DE MINAS GERAIS"
2849;1422;2012;1051;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS"
2850;1426;2012;4061;4;"FUNDOS";4;"FUNDOS";"FUNDO PRO-FLORESTA"
2851;829;2007;4441;4;"FUNDOS";4;"FUNDOS";"FUNDO ESPECIAL DO MINISTERIO PUBLICO DO ESTADO DE MINAS GERAIS"
2852;838;2007;4491;4;"FUNDOS";4;"FUNDOS";"FUNDO ESTADUAL DE CULTURA"
2853;736;2007;2101;2;"AUTARQUIAS E FUNDAÇÕES";2;"AUTARQUIAS";"INSTITUTO ESTADUAL DE FLORESTAS"
2854;811;2007;4381;4;"FUNDOS";4;"FUNDOS";"FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES"
2855;815;2007;9801;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"FOLHA DE PESSOAL CENTRALIZADA"
2856;823;2007;1481;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL"
2857;1534;2012;4511;4;"FUNDOS";4;"FUNDOS";"FUNDO DE INCENTIVO AO DESENVOLVIMENTO"
2928;1051;2009;2301;2;"AUTARQUIAS E FUNDAÇÕES";2;"AUTARQUIAS";"DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS"
2929;1054;2009;2321;2;"AUTARQUIAS E FUNDAÇÕES";3;"FUNDACOES";"FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS"
2930;522;2005;1311;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE INDUSTRIA E COMERCIO"
2931;523;2005;2311;2;"AUTARQUIAS E FUNDAÇÕES";2;"AUTARQUIAS";"UNIVERSIDADE ESTADUAL DE MONTES CLAROS"
2932;525;2005;2321;2;"AUTARQUIAS E FUNDAÇÕES";3;"FUNDACOES";"FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS"
2933;158;2003;1071;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS"
2934;175;2003;1121;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DA CASA CIVIL DO ESTADO DE MINAS GERAIS"
2935;937;2008;4391;4;"FUNDOS";4;"FUNDOS";"FUNDO ESTADUAL DE RECUPERACAO DO PATRIMONIO HISTORICO, ARTISTICO E ARQ"
2936;938;2008;1401;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS"
2937;951;2008;1451;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE DEFESA SOCIAL"
2938;952;2008;1491;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE GOVERNO"
2939;953;2008;1501;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO"
2940;553;2005;4381;4;"FUNDOS";4;"FUNDOS";"FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES"
2941;575;2005;1101;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS"
2942;455;2005;1081;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"ADVOCACIA-GERAL DO ESTADO"
2943;469;2005;1121;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DA CASA CIVIL"
2944;475;2005;2141;2;"AUTARQUIAS E FUNDAÇÕES";2;"AUTARQUIAS";"DEPARTAMENTO DE OBRAS PUBLICAS DO ESTADO DE MINAS GERAIS"
2945;397;2004;1915;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"TRANSFERENCIAS DO ESTADO A EMPRESAS"
2946;400;2004;1911;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"EGE SEC.FAZENDA-ENCARGOS DIVERSOS"
2947;407;2004;1411;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE TURISMO"
2948;413;2004;1421;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE COMUNICACAO SOCIAL"
2949;414;2004;1431;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE GOVERNO E DE ASSUNTOS MUNICIPAIS"
2950;416;2004;9999;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"EMG - ADMINISTRACAO DIRETA"
2951;1517;2012;1481;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL"
2952;1521;2012;1941;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"EGE-SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO"
2953;1268;2011;1101;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS"
2954;1274;2011;1231;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO"
2955;1277;2011;1271;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE CULTURA"
2956;346;2004;1191;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE FAZENDA"
2957;398;2004;1913;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"TRANSFERENCIAS DO ESTADO A EMPRESAS SUBVENCIONADAS"
2958;434;2005;1011;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS"
2959;435;2005;2011;2;"AUTARQUIAS E FUNDAÇÕES";2;"AUTARQUIAS";"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS"
2960;196;2003;1191;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE FAZENDA"
2961;207;2003;1241;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DA SEGURANCA PUBLICA"
2962;1123;2010;1031;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS"
2963;1190;2010;1301;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE TRANSPORTES E OBRAS PUBLICAS"
2964;1200;2010;2361;2;"AUTARQUIAS E FUNDAÇÕES";2;"AUTARQUIAS";"INSTITUTO DE PREVIDENCIA DO LEGISLATIVO DO ESTADO DE MINAS GERAIS"
2965;1211;2010;1991;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"RESERVA DE CONTINGENCIA"
2966;1164;2010;2181;2;"AUTARQUIAS E FUNDAÇÕES";3;"FUNDACOES";"FUNDACAO CLOVIS SALGADO"
2967;1182;2010;1261;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE EDUCACAO"
2968;1186;2010;2271;2;"AUTARQUIAS E FUNDAÇÕES";3;"FUNDACOES";"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS"
